date,Close,Net,chg,Open,Low,High,Volume
44925.00,10466.48,-11.60,0.00,10368.37,10324.70,10468.31,850563443.00
44924.00,10478.09,264.80,0.03,10321.46,10301.06,10502.08,894544000.00
44923.00,10213.29,-139.94,-0.01,10339.20,10207.47,10414.82,751523994.00
44922.00,10353.23,-144.64,-0.01,10462.19,10340.73,10472.32,753048923.00
44918.00,10497.86,21.74,0.00,10437.75,10361.82,10514.76,678026176.00
44917.00,10476.12,-233.25,-0.02,10586.46,10313.32,10599.34,974196289.00
44916.00,10709.37,162.26,0.02,10592.00,10569.20,10753.57,937395051.00
44915.00,10547.11,1.08,0.00,10490.89,10446.82,10609.47,972311408.00
44914.00,10546.03,-159.38,-0.01,10707.44,10497.55,10713.97,1042982386.00
44911.00,10705.41,-105.11,-0.01,10767.64,10642.10,10833.24,3280676899.00
44910.00,10810.53,-360.36,-0.03,11012.62,10775.61,11029.57,1162921863.00
44909.00,11170.89,-85.93,-0.01,11248.09,11065.24,11352.09,1124624118.00
44908.00,11256.81,113.08,0.01,11542.84,11160.54,11571.64,1237792243.00
44907.00,11143.74,139.12,0.01,11015.48,10984.82,11144.67,955139394.00
44904.00,11004.62,-77.39,-0.01,11038.17,10999.26,11138.70,867237890.00
44903.00,11082.00,123.45,0.01,11011.33,10939.47,11119.16,832948408.00
44902.00,10958.55,-56.34,-0.01,10963.95,10910.62,11039.81,828484013.00
44901.00,11014.89,-225.05,-0.02,11228.42,10956.20,11241.42,888700042.00
44900.00,11239.94,-221.56,-0.02,11380.99,11193.03,11425.51,885176791.00
44897.00,11461.50,-20.95,0.00,11308.38,11296.72,11492.32,859606086.00
44896.00,11482.45,14.45,0.00,11475.17,11378.75,11546.77,912528430.00
44895.00,11468.00,484.22,0.04,10995.20,10966.53,11468.47,1620681849.00
44894.00,10983.78,-65.72,-0.01,11060.02,10944.37,11086.02,783464089.00
44893.00,11049.50,-176.86,-0.02,11147.57,11020.69,11217.75,811959308.00
44890.00,11226.36,-58.96,-0.01,11231.00,11206.38,11261.57,377169139.00
44888.00,11285.32,110.91,0.01,11174.61,11174.61,11310.82,695123806.00
44887.00,11174.41,149.90,0.01,11058.56,10975.66,11179.87,758796676.00
44886.00,11024.51,-121.55,-0.01,11091.01,10999.75,11128.78,765202772.00
44883.00,11146.06,1.10,0.00,11257.01,11059.16,11259.44,846399062.00
44882.00,11144.96,-38.70,0.00,11008.67,11006.21,11198.84,837387511.00
44881.00,11183.66,-174.75,-0.02,11260.10,11162.92,11286.10,887823638.00
44880.00,11358.41,162.19,0.01,11474.82,11241.15,11492.62,1038261741.00
44879.00,11196.22,-127.11,-0.01,11233.90,11167.17,11350.13,983394971.00
44876.00,11323.33,209.18,0.02,11124.75,11069.83,11352.43,1213620152.00
44875.00,11114.15,760.97,0.07,10869.17,10779.95,11119.12,1395651536.00
44874.00,10353.18,-263.03,-0.02,10528.45,10344.01,10564.97,1037343845.00
44873.00,10616.20,51.68,0.00,10611.53,10472.73,10745.64,994349211.00
44872.00,10564.52,89.27,0.01,10516.94,10428.91,10587.96,930246687.00
44869.00,10475.25,132.31,0.01,10548.14,10262.93,10553.63,1089930992.00
44868.00,10342.94,-181.86,-0.02,10399.45,10319.54,10486.01,1006408472.00
44867.00,10524.80,-366.05,-0.03,10885.01,10522.90,10993.24,1102008578.00
44866.00,10890.85,-97.30,-0.01,11154.74,10881.19,11156.35,903258679.00
44865.00,10988.15,-114.31,-0.01,11028.43,10914.01,11047.94,1084689036.00
44862.00,11102.45,309.78,0.03,10766.20,10766.20,11117.04,977640482.00
