trade_id,asset,dt_enter,dt_exit,success,n,rtn
201,IVV,10/19/20,10/26/20,-1,6,-0.002129674814021877
202,IVV,10/20/20,,0,3,
203,IVV,10/21/20,,0,3,
204,IVV,10/22/20,11/2/20,-1,8,-0.003386530842393782
205,IVV,10/23/20,11/2/20,-1,7,-0.004682035231473278
206,IVV,10/26/20,11/2/20,-1,6,-0.005992100251641884
207,IVV,10/27/20,11/4/20,1,7,0.0014214758361668703
208,IVV,10/28/20,11/3/20,1,5,0.0019900661706336183
209,IVV,10/29/20,11/2/20,1,3,0.003316776951056031
210,IVV,10/30/20,11/2/20,1,2,0.004975165426584046
211,IVV,11/2/20,,0,3,
212,IVV,11/3/20,,0,3,
213,IVV,11/4/20,,0,3,
214,IVV,11/5/20,,0,3,
215,IVV,11/6/20,,0,3,
216,IVV,11/9/20,,0,3,
217,IVV,11/10/20,11/11/20,1,2,0.004975165426584156
218,IVV,11/11/20,,0,3,
219,IVV,11/12/20,11/13/20,1,2,0.004975165426584046
220,IVV,11/13/20,,0,3,
221,IVV,11/16/20,,0,3,
222,IVV,11/17/20,11/24/20,1,6,0.0016583884755279785
223,IVV,11/18/20,11/24/20,1,5,0.0019900661706336183
224,IVV,11/19/20,,0,3,
225,IVV,11/20/20,,0,3,
226,IVV,11/23/20,,0,3,
227,IVV,11/24/20,,0,3,
228,IVV,11/25/20,12/1/20,1,5,0.0019900661706336183
229,IVV,11/27/20,,0,3,
230,IVV,11/30/20,12/1/20,1,2,0.004975165426584046
231,IVV,12/1/20,,0,3,
232,IVV,12/2/20,,0,3,
233,IVV,12/3/20,,0,3,
234,IVV,12/4/20,,0,3,
235,IVV,12/7/20,12/16/20,-1,8,0.0008204754293928246
236,IVV,12/8/20,12/16/20,1,7,0.0014214758361668703
237,IVV,12/9/20,12/16/20,-1,6,0.0009443663913813308
238,IVV,12/10/20,12/15/20,1,4,0.002487582713291968
239,IVV,12/11/20,12/15/20,1,3,0.003316776951056031
240,IVV,12/14/20,,0,3,
241,IVV,12/15/20,,0,3,
242,IVV,12/16/20,,0,3,
243,IVV,12/17/20,12/23/20,1,5,0.0019900661706336183
244,IVV,12/18/20,12/28/20,1,7,0.0014214758361668703
245,IVV,12/21/20,12/23/20,1,3,0.003316776951056031
246,IVV,12/22/20,,0,3,
247,IVV,12/23/20,,0,3,
248,IVV,12/24/20,,0,3,
249,IVV,12/28/20,,0,3,
250,IVV,12/29/20,,0,3,
251,IVV,12/30/20,1/5/21,1,5,0.0019900661706336183
252,IVV,12/31/20,1/5/21,1,4,0.002487582713292023
253,IVV,1/4/21,1/6/21,1,3,0.003316776951056031
254,IVV,1/5/21,,0,3,
255,IVV,1/6/21,,0,3,
256,IVV,1/7/21,,0,3,
257,IVV,1/8/21,,0,3,
258,IVV,1/11/21,1/20/21,1,8,0.0012437913566460115
259,IVV,1/12/21,,0,3,
260,IVV,1/13/21,1/19/21,1,5,0.0019900661706336183
261,IVV,1/14/21,1/20/21,1,5,0.0019900661706335745
262,IVV,1/15/21,1/19/21,1,3,0.003316776951056031
263,IVV,1/19/21,,0,3,
264,IVV,1/20/21,,0,3,
265,IVV,1/21/21,1/25/21,1,3,0.003316776951056031
266,IVV,1/22/21,1/25/21,1,2,0.004975165426584046
267,IVV,1/25/21,1/25/21,1,1,0.009950330853168092
268,IVV,1/26/21,2/3/21,-1,7,0.00047790840362010097
269,IVV,1/27/21,2/3/21,-1,6,0.0008020799773294598
270,IVV,1/28/21,2/1/21,1,3,0.003316776951056031
271,IVV,1/29/21,2/2/21,1,3,0.003316776951056031
272,IVV,2/1/21,,0,3,
273,IVV,2/2/21,,0,3,
274,IVV,2/3/21,,0,3,
275,IVV,2/4/21,,0,3,
276,IVV,2/5/21,,0,3,
277,IVV,2/8/21,,0,3,
278,IVV,2/9/21,2/10/21,1,2,0.004975165426584046
279,IVV,2/10/21,,0,3,
280,IVV,2/11/21,,0,3,
281,IVV,2/12/21,,0,3,
282,IVV,2/16/21,2/25/21,-1,8,-0.00208655784075175
283,IVV,2/17/21,2/19/21,1,3,0.003316776951056031
284,IVV,2/18/21,2/25/21,-1,6,-0.002670997335974095
285,IVV,2/19/21,2/24/21,1,4,0.002487582713292023
286,IVV,2/22/21,2/24/21,1,3,0.003316776951056031
287,IVV,2/23/21,2/23/21,1,1,0.009950330853168092
288,IVV,2/24/21,3/1/21,1,4,0.002487582713292023
289,IVV,2/25/21,3/4/21,-1,6,-0.004856694689720863
290,IVV,2/26/21,3/1/21,1,2,0.004975165426584046
291,IVV,3/1/21,,0,3,
292,IVV,3/2/21,3/9/21,1,6,0.0016583884755280154
293,IVV,3/3/21,3/8/21,1,4,0.002487582713292023
294,IVV,3/4/21,3/5/21,1,2,0.004975165426584046
295,IVV,3/5/21,3/5/21,1,1,0.009950330853168092
296,IVV,3/8/21,,0,3,
297,IVV,3/9/21,,0,3,
298,IVV,3/10/21,,0,3,
299,IVV,3/11/21,,0,3,
300,IVV,3/12/21,,0,3,
301,IVV,3/15/21,,0,3,
302,IVV,3/16/21,3/25/21,-1,8,-0.0009265787826072882
303,IVV,3/17/21,3/25/21,-1,7,-0.0008594031963095864
304,IVV,3/18/21,3/25/21,-1,6,-0.0015439278389027195
305,IVV,3/19/21,,0,3,
306,IVV,3/22/21,,0,3,
307,IVV,3/23/21,3/26/21,1,4,0.002487582713292023
308,IVV,3/24/21,3/26/21,1,3,0.003316776951056031
309,IVV,3/25/21,3/25/21,1,1,0.009950330853168092
310,IVV,3/26/21,,0,3,
311,IVV,3/29/21,,0,3,
312,IVV,3/30/21,,0,3,
313,IVV,3/31/21,,0,3,
314,IVV,4/1/21,,0,3,
315,IVV,4/5/21,,0,3,
316,IVV,4/6/21,,0,3,
317,IVV,4/7/21,,0,3,
318,IVV,4/8/21,,0,3,
319,IVV,4/9/21,,0,3,
320,IVV,4/12/21,,0,3,
321,IVV,4/13/21,,0,3,
322,IVV,4/14/21,,0,3,
323,IVV,4/15/21,,0,3,
324,IVV,4/16/21,4/21/21,1,4,0.002487582713292023
325,IVV,4/19/21,4/23/21,1,5,0.0019900661706336183
326,IVV,4/20/21,4/21/21,1,2,0.004975165426584046
327,IVV,4/21/21,,0,3,
328,IVV,4/22/21,4/23/21,1,2,0.004975165426584046
329,IVV,4/23/21,,0,3,
330,IVV,4/26/21,,0,3,
331,IVV,4/27/21,,0,3,
332,IVV,4/28/21,,0,3,
333,IVV,4/29/21,,0,3,
334,IVV,4/30/21,5/7/21,1,6,0.0016583884755280154
335,IVV,5/3/21,5/5/21,1,3,0.003316776951056031
336,IVV,5/4/21,5/6/21,1,3,0.003316776951056031
337,IVV,5/5/21,,0,3,
338,IVV,5/6/21,,0,3,
339,IVV,5/7/21,5/18/21,-1,8,-0.0008704330094447449
340,IVV,5/10/21,5/17/21,-1,6,-0.0009243125229277891
341,IVV,5/11/21,5/18/21,-1,6,-0.0007358363681861571
342,IVV,5/12/21,5/14/21,1,3,0.003316776951056031
343,IVV,5/13/21,,0,3,
344,IVV,5/14/21,,0,3,
345,IVV,5/17/21,5/20/21,1,4,0.002487582713292023
346,IVV,5/18/21,5/20/21,1,3,0.003316776951056031
347,IVV,5/19/21,5/20/21,1,2,0.004975165426584046
348,IVV,5/20/21,,0,3,
349,IVV,5/21/21,,0,3,
350,IVV,5/24/21,,0,3,
351,IVV,5/25/21,,0,3,
352,IVV,5/26/21,,0,3,
353,IVV,5/27/21,,0,3,
354,IVV,5/28/21,,0,3,
355,IVV,6/1/21,,0,3,
356,IVV,6/2/21,,0,3,
357,IVV,6/3/21,,0,3,
358,IVV,6/4/21,,0,3,
359,IVV,6/7/21,,0,3,
360,IVV,6/8/21,,0,3,
361,IVV,6/9/21,,0,3,
362,IVV,6/10/21,,0,3,
363,IVV,6/11/21,,0,3,
364,IVV,6/14/21,6/22/21,1,7,0.0014214758361668703
365,IVV,6/15/21,6/22/21,1,6,0.0016583884755280154
366,IVV,6/16/21,6/22/21,1,5,0.0019900661706336183
367,IVV,6/17/21,6/21/21,1,3,0.003316776951056031
368,IVV,6/18/21,6/21/21,1,2,0.004975165426584046
369,IVV,6/21/21,,0,3,
370,IVV,6/22/21,,0,3,
371,IVV,6/23/21,,0,3,
372,IVV,6/24/21,,0,3,
373,IVV,6/25/21,,0,3,
374,IVV,6/28/21,,0,3,
375,IVV,6/29/21,,0,3,
376,IVV,6/30/21,,0,3,
377,IVV,7/1/21,,0,3,
378,IVV,7/2/21,,0,3,
379,IVV,7/6/21,7/9/21,1,4,0.002487582713292023
380,IVV,7/7/21,7/9/21,1,3,0.003316776951056031
381,IVV,7/8/21,7/9/21,1,2,0.004975165426584046
382,IVV,7/9/21,,0,3,
383,IVV,7/12/21,,0,3,
384,IVV,7/13/21,7/22/21,-1,8,0.0008055389136257509
385,IVV,7/14/21,7/22/21,1,7,0.0014214758361668703
386,IVV,7/15/21,7/23/21,1,7,0.0014214758361668703
387,IVV,7/16/21,7/21/21,1,4,0.002487582713292023
388,IVV,7/19/21,7/20/21,1,2,0.004975165426584046
389,IVV,7/20/21,,0,3,
390,IVV,7/21/21,,0,3,
391,IVV,7/22/21,,0,3,
392,IVV,7/23/21,,0,3,
393,IVV,7/26/21,,0,3,
394,IVV,7/27/21,7/29/21,1,3,0.003316776951056031
395,IVV,7/28/21,,0,3,
396,IVV,7/29/21,,0,3,
397,IVV,7/30/21,8/3/21,1,3,0.003316776951056031
398,IVV,8/2/21,,0,3,
399,IVV,8/3/21,,0,3,
